"l","m","n","a","omega1"
1,0,0,0.2,"-0.00017640363566661810431923493891820792276694288786579239180274267778326 + 0.00039868523860193397698594324636034989332437765096728401193278281177668i"
1,0,0,0.25,"-0.00026011864564215712718161284006585501209615045835785015978618292166685 + 0.00063011785989858403735813175847754166638602717504736440366652532460929i"
1,0,0,0.3,"-0.00034570034590362142058057923873533000683092719965708474108407282664422 + 0.00092059020928221572816310631504195946396320748768628584156502107558935i"
1,0,0,0.35,"-0.00042083119629216411467018851478056130117670024925237490132941297718984 + 0.00127555695480648456927199481626769824385167057968274683240714776968242i"
1,0,0,0.4,"-0.0004684649080747871580374837573286359634246041824266304077039752015124 + 0.001702480640238130211223301603672004163848629058668293033563151873975i"
1,0,0,0.45,"-0.0004649787953321623690772542731756919802013686290586495653895320505905 + 0.0022116585502690122598106760649951452226350512667703945396415805769619i"
1,0,0,0.5,"-0.0003773803639141047810161683064484359148569171361770034872637589182401 + 0.0028175660999548934222975800130805264378943939901639837378571787809376i"
1,0,0,0.55,"-0.000159000616459502795990869834213820247461923414534174177480911527184 + 0.003541117361352894180392771678610957192485138492515454684815188966313i"
1,0,0,0.6,"0.00025730966542399828619230711302548653157307246082597124460379337052 + 0.004413635426015811295029071730027854409551315012294244372211745532276i"
1,0,0,0.65,"0.0009702344230318311090280743175816126844027565973452060386193845058969 + 0.0054841912391355342552498730243460374409865404206744526940965514296889i"
1,0,0,0.7,"0.002128499187301298404984648744126186628274095482237579890304570614112 + 0.006834015079166277119733058698937105500579472141262483237245125777315i"
1,0,0,0.75,"0.003962702857102862738683006166649108467466877405305147007810796379046 + 0.008606903439385959368124190797703100083506264913587958890477289491089i"
1,0,0,0.8,"0.006840554706281835920616304307105535360157259317149247921773193225401 + 0.011079050456982244406564138544853801088655325596086874746944762623959i"
1,0,0,0.85,"0.01135622719657078480198677013836419652204729144390208395926168643385 + 0.01483563226323982788798713609235349190014511820393020865126644769231i"
1,0,0,0.9,"0.018407724541014825340830750438854911227850477915118873484894485358187 + 0.021258230321831745100069148571570746279135155012046965277372604006106i"
1,0,0,0.91,"0.020209235663792571698570922062907077043343213381048808116128623590183 + 0.023107035941070639281508057884324270676361261428142368177705207262369i"
1,0,0,0.92,"0.02215001299514576804601448090333476717952408099751618198435647770673 + 0.02523063067368266076219819700776809816970525053407007227576155511912i"
1,0,0,0.93,"0.02422405153863307047872645578528267071523624362072979987604411896979 + 0.02767960112377273345970095352017473105204272783303247700762760170585i"
1,0,0,0.94,"0.02641586573343817965269023391426917511166115790442203590030888890916 + 0.0305104557096778833984162904835132714601025682835691961814343124989i"
1,0,0,0.95,"0.02869814953015434675381390455945648233728368971202953889837688542893 + 0.03378225816093925339080898466862316913171108308749622198892728878732i"
1,0,0,0.96,"0.03103302201217884828171340358386933291744854518439756531947406899826 + 0.03755033302638126901512958826475787712827796215703500149307302881064i"
1,0,0,0.97,"0.0333834460062934223531819777472619624049255026804967589910183948843 + 0.0418597292644989558263160095968018193422966285709902778441857939432i"
1,0,0,0.98,"0.0357433249354395983669200243671507850875527760764477630264046411016 + 0.0467524826038370969298226820630473431127774606354882795191559616906i"
1,0,0,0.99,"0.038186290173950611736426819481657691928952499610390437716975052975 + 0.052321941104635552701770692082005740855577906785462507663302603396i"
1,1,0,0.05,"-0.001464684562236837040167791199065274803669705745804751488214237925896583 - 0.002106466984371985581745460564143743630914634289504775586485310888738388i"
1,1,0,0.1,"-0.00303975139401109281100577940598435241716861791998984440552560822152036 - 0.00435039578721028567834205333187263333350201752845909211259474902428447i"
1,1,0,0.15,"-0.00472477323218313563932759511577004513619066940262548728016318759524992 - 0.00675755740538389030627743458315300415327054632163712903283854624180077i"
